,Age,Expressions,Gender,Illumination,Img,Makeup,Occlusion,Pose,Unnamed: 0
20,YOUNG,DISGUST,MALE,BAD,10000020.jpg,"PARTIAL
",NONE,FRONTAL,20.0
21,YOUNG,DISGUST,MALE,BAD,10000021.jpg,"PARTIAL
",NONE,LEFT,21.0
22,YOUNG,DISGUST,MALE,BAD,10000022.jpg,"PARTIAL
",NONE,LEFT,22.0
23,YOUNG,DISGUST,MALE,MEDIUM,10000023.jpg,"PARTIAL
",NONE,FRONTAL,23.0
24,YOUNG,HAPPINESS,MALE,MEDIUM,10000024.jpg,"PARTIAL
",NONE,RIGHT,24.0
25,YOUNG,DISGUST,MALE,HIGH,10000025.jpg,"PARTIAL
",NONE,FRONTAL,25.0
26,YOUNG,DISGUST,MALE,HIGH,10000026.jpg,"PARTIAL
",NONE,FRONTAL,26.0
27,YOUNG,DISGUST,MALE,BAD,10000027.jpg,"PARTIAL
",NONE,RIGHT,27.0
28,YOUNG,DISGUST,MALE,BAD,10000028.jpg,"PARTIAL
",HAND,RIGHT,28.0
29,YOUNG,DISGUST,MALE,BAD,10000029.jpg,"PARTIAL
",HAND,RIGHT,29.0
30,YOUNG,DISGUST,MALE,BAD,10000030.jpg,"PARTIAL
",HAND,RIGHT,30.0
31,YOUNG,DISGUST,MALE,MEDIUM,10000031.jpg,"PARTIAL
",NONE,FRONTAL,31.0
32,YOUNG,DISGUST,MALE,MEDIUM,10000032.jpg,"PARTIAL
",NONE,FRONTAL,32.0
33,YOUNG,DISGUST,MALE,MEDIUM,10000033.jpg,"PARTIAL
",NONE,RIGHT,33.0
34,YOUNG,HAPPINESS,MALE,MEDIUM,10000034.jpg,"PARTIAL
",NONE,RIGHT,34.0
35,YOUNG,DISGUST,MALE,MEDIUM,10000035.jpg,"PARTIAL
",NONE,FRONTAL,35.0
36,YOUNG,DISGUST,MALE,MEDIUM,10000036.jpg,"PARTIAL
",NONE,LEFT,36.0
37,YOUNG,DISGUST,MALE,MEDIUM,10000037.jpg,"PARTIAL
",NONE,LEFT,37.0
38,YOUNG,DISGUST,MALE,BAD,10000038.jpg,"PARTIAL
",NONE,LEFT,38.0
39,YOUNG,HAPPINESS,MALE,HIGH,10000039.jpg,"PARTIAL
",HAND,FRONTAL,39.0
40,YOUNG,HAPPINESS,MALE,HIGH,10000040.jpg,"PARTIAL
",NONE,FRONTAL,40.0
41,YOUNG,HAPPINESS,MALE,HIGH,10000041.jpg,"PARTIAL
",NONE,FRONTAL,41.0
42,YOUNG,HAPPINESS,MALE,HIGH,10000042.jpg,"PARTIAL
",NONE,RIGHT,42.0
43,YOUNG,SURPRISE,MALE,HIGH,10000043.jpg,"PARTIAL
",NONE,FRONTAL,43.0
44,YOUNG,HAPPINESS,MALE,HIGH,10000044.jpg,"PARTIAL
",NONE,LEFT,44.0
45,YOUNG,HAPPINESS,MALE,BAD,10000045.jpg,"PARTIAL
",NONE,FRONTAL,45.0
46,YOUNG,DISGUST,MALE,BAD,10000046.jpg,"PARTIAL
",NONE,FRONTAL,46.0
47,YOUNG,HAPPINESS,MALE,HIGH,10000047.jpg,"PARTIAL
",HAND,FRONTAL,47.0
48,YOUNG,NEUTRAL,MALE,BAD,10000048.jpg,"PARTIAL
",HAND,FRONTAL,48.0
49,YOUNG,DISGUST,MALE,MEDIUM,10000049.jpg,"PARTIAL
",NONE,LEFT,49.0
50,YOUNG,HAPPINESS,MALE,HIGH,10000050.jpg,"PARTIAL
",NONE,LEFT,50.0
51,YOUNG,HAPPINESS,MALE,HIGH,10000051.jpg,"PARTIAL
",NONE,RIGHT,51.0
52,YOUNG,HAPPINESS,MALE,HIGH,10000052.jpg,"PARTIAL
",NONE,FRONTAL,52.0
53,YOUNG,DISGUST,MALE,BAD,10000053.jpg,"PARTIAL
",NONE,LEFT,53.0
54,YOUNG,HAPPINESS,MALE,MEDIUM,10000054.jpg,"PARTIAL
",NONE,FRONTAL,54.0
55,YOUNG,DISGUST,MALE,MEDIUM,10000055.jpg,"PARTIAL
",NONE,LEFT,55.0
56,YOUNG,DISGUST,MALE,MEDIUM,10000056.jpg,"PARTIAL
",NONE,LEFT,56.0
57,YOUNG,DISGUST,MALE,MEDIUM,10000057.jpg,"PARTIAL
",NONE,RIGHT,57.0
58,YOUNG,DISGUST,MALE,MEDIUM,10000058.jpg,"PARTIAL
",NONE,LEFT,58.0
59,YOUNG,DISGUST,MALE,MEDIUM,10000059.jpg,"PARTIAL
",NONE,RIGHT,59.0
60,YOUNG,DISGUST,MALE,MEDIUM,10000060.jpg,"PARTIAL
",NONE,FRONTAL,60.0
61,YOUNG,DISGUST,MALE,MEDIUM,10000061.jpg,"PARTIAL
",NONE,LEFT,61.0
62,YOUNG,DISGUST,MALE,MEDIUM,10000062.jpg,"PARTIAL
",NONE,LEFT,62.0
63,YOUNG,DISGUST,MALE,MEDIUM,10000063.jpg,"PARTIAL
",NONE,RIGHT,63.0
64,YOUNG,DISGUST,MALE,HIGH,10000064.jpg,"PARTIAL
",NONE,FRONTAL,64.0
65,YOUNG,DISGUST,MALE,HIGH,10000065.jpg,"PARTIAL
",HAND,LEFT,65.0
66,YOUNG,DISGUST,MALE,HIGH,10000066.jpg,"PARTIAL
",HAND,FRONTAL,66.0
67,YOUNG,HAPPINESS,MALE,MEDIUM,10000067.jpg,"PARTIAL
",NONE,FRONTAL,67.0
68,YOUNG,DISGUST,MALE,MEDIUM,10000068.jpg,"PARTIAL
",NONE,RIGHT,68.0
69,YOUNG,DISGUST,MALE,MEDIUM,10000069.jpg,"PARTIAL
",NONE,FRONTAL,69.0
70,YOUNG,DISGUST,MALE,MEDIUM,10000070.jpg,"PARTIAL
",NONE,LEFT,70.0
71,YOUNG,DISGUST,MALE,HIGH,10000071.jpg,"PARTIAL
",NONE,LEFT,71.0
72,YOUNG,ANGER,MALE,HIGH,10000072.jpg,"PARTIAL
",NONE,FRONTAL,72.0
73,YOUNG,DISGUST,MALE,HIGH,10000073.jpg,"PARTIAL
",NONE,FRONTAL,73.0
74,YOUNG,DISGUST,MALE,HIGH,10000074.jpg,"PARTIAL
",NONE,FRONTAL,74.0
75,YOUNG,DISGUST,MALE,HIGH,10000075.jpg,"PARTIAL
",NONE,FRONTAL,75.0
76,YOUNG,HAPPINESS,MALE,MEDIUM,10000076.jpg,"PARTIAL
",NONE,LEFT,76.0
77,YOUNG,DISGUST,MALE,MEDIUM,10000077.jpg,"PARTIAL
",HAND,LEFT,77.0
78,YOUNG,DISGUST,MALE,MEDIUM,10000078.jpg,"PARTIAL
",NONE,RIGHT,78.0
79,YOUNG,DISGUST,MALE,MEDIUM,10000079.jpg,"PARTIAL
",NONE,FRONTAL,79.0
80,YOUNG,DISGUST,MALE,MEDIUM,10000080.jpg,"PARTIAL
",NONE,LEFT,80.0
81,YOUNG,DISGUST,MALE,HIGH,10000081.jpg,"PARTIAL
",NONE,LEFT,81.0
82,YOUNG,DISGUST,MALE,HIGH,10000082.jpg,"PARTIAL
",NONE,FRONTAL,82.0
83,YOUNG,DISGUST,MALE,HIGH,10000083.jpg,"PARTIAL
",NONE,LEFT,83.0
84,YOUNG,DISGUST,MALE,MEDIUM,10000084.jpg,"PARTIAL
",NONE,RIGHT,84.0
85,YOUNG,DISGUST,MALE,MEDIUM,10000085.jpg,"PARTIAL
",NONE,RIGHT,85.0
86,YOUNG,DISGUST,MALE,MEDIUM,10000086.jpg,"PARTIAL
",NONE,FRONTAL,86.0
87,YOUNG,DISGUST,MALE,MEDIUM,10000087.jpg,"PARTIAL
",NONE,LEFT,87.0
88,YOUNG,DISGUST,MALE,MEDIUM,10000088.jpg,"PARTIAL
",NONE,FRONTAL,88.0
89,YOUNG,DISGUST,MALE,MEDIUM,10000089.jpg,"PARTIAL
",NONE,LEFT,89.0
90,YOUNG,DISGUST,MALE,MEDIUM,10000090.jpg,"PARTIAL
",NONE,FRONTAL,90.0
91,YOUNG,DISGUST,MALE,MEDIUM,10000091.jpg,"PARTIAL
",NONE,RIGHT,91.0
92,YOUNG,DISGUST,MALE,MEDIUM,10000092.jpg,"PARTIAL
",NONE,RIGHT,92.0
93,YOUNG,DISGUST,MALE,MEDIUM,10000093.jpg,"PARTIAL
",NONE,FRONTAL,93.0
94,YOUNG,DISGUST,MALE,MEDIUM,10000094.jpg,"PARTIAL
",NONE,LEFT,94.0
95,YOUNG,ANGER,MALE,MEDIUM,10000095.jpg,"PARTIAL
",NONE,DOWN,95.0
96,YOUNG,DISGUST,MALE,BAD,10000096.jpg,"PARTIAL
",HAND,RIGHT,96.0
97,YOUNG,DISGUST,MALE,MEDIUM,10000097.jpg,"PARTIAL
",NONE,DOWN,97.0
98,YOUNG,DISGUST,MALE,MEDIUM,10000098.jpg,"PARTIAL
",NONE,DOWN,98.0
99,YOUNG,DISGUST,MALE,MEDIUM,10000099.jpg,"PARTIAL
",NONE,FRONTAL,99.0
100,YOUNG,DISGUST,MALE,MEDIUM,10000100.jpg,"PARTIAL
",NONE,LEFT,100.0
101,YOUNG,DISGUST,MALE,BAD,10000101.jpg,"PARTIAL
",NONE,LEFT,101.0
102,YOUNG,DISGUST,MALE,BAD,10000102.jpg,"PARTIAL
",NONE,DOWN,102.0
103,YOUNG,DISGUST,MALE,BAD,10000103.jpg,"PARTIAL
",NONE,DOWN,103.0
104,YOUNG,DISGUST,MALE,BAD,10000104.jpg,"PARTIAL
",NONE,RIGHT,104.0
105,YOUNG,DISGUST,MALE,BAD,10000105.jpg,"PARTIAL
",NONE,RIGHT,105.0
106,YOUNG,DISGUST,MALE,MEDIUM,10000106.jpg,"PARTIAL
",NONE,FRONTAL,106.0
107,YOUNG,DISGUST,MALE,MEDIUM,10000107.jpg,"PARTIAL
",NONE,RIGHT,107.0
108,YOUNG,DISGUST,MALE,BAD,10000108.jpg,"PARTIAL
",NONE,DOWN,108.0
109,YOUNG,HAPPINESS,MALE,BAD,10000109.jpg,"PARTIAL
",NONE,RIGHT,109.0
110,YOUNG,DISGUST,MALE,MEDIUM,10000110.jpg,"PARTIAL
",NONE,LEFT,110.0
111,YOUNG,HAPPINESS,MALE,HIGH,10000111.jpg,"PARTIAL
",NONE,RIGHT,111.0
112,YOUNG,DISGUST,MALE,MEDIUM,10000112.jpg,"PARTIAL
",NONE,RIGHT,112.0
113,YOUNG,DISGUST,MALE,MEDIUM,10000113.jpg,"PARTIAL
",NONE,RIGHT,113.0
114,YOUNG,ANGER,MALE,HIGH,10000114.jpg,"PARTIAL
",NONE,FRONTAL,114.0
115,YOUNG,HAPPINESS,MALE,MEDIUM,10000115.jpg,"PARTIAL
",OTHERS,LEFT,115.0
116,YOUNG,DISGUST,MALE,MEDIUM,10000116.jpg,"PARTIAL
",NONE,RIGHT,116.0
117,YOUNG,DISGUST,MALE,MEDIUM,10000117.jpg,"PARTIAL
",NONE,LEFT,117.0
118,YOUNG,DISGUST,MALE,BAD,10000118.jpg,"PARTIAL
",NONE,FRONTAL,118.0
119,YOUNG,DISGUST,MALE,MEDIUM,10000119.jpg,"PARTIAL
",NONE,UP,119.0
120,YOUNG,DISGUST,MALE,MEDIUM,10000120.jpg,"PARTIAL
",NONE,UP,120.0
121,YOUNG,DISGUST,MALE,MEDIUM,10000121.jpg,"PARTIAL
",NONE,RIGHT,121.0
122,YOUNG,DISGUST,MALE,MEDIUM,10000122.jpg,"PARTIAL
",NONE,LEFT,122.0
123,YOUNG,DISGUST,MALE,MEDIUM,10000123.jpg,"PARTIAL
",NONE,FRONTAL,123.0
124,YOUNG,DISGUST,MALE,MEDIUM,10000124.jpg,"PARTIAL
",NONE,RIGHT,124.0
125,YOUNG,DISGUST,MALE,MEDIUM,10000125.jpg,"PARTIAL
",NONE,FRONTAL,125.0
126,YOUNG,DISGUST,MALE,MEDIUM,10000126.jpg,"PARTIAL
",NONE,DOWN,126.0
127,YOUNG,DISGUST,MALE,MEDIUM,10000127.jpg,"PARTIAL
",NONE,FRONTAL,127.0
128,YOUNG,DISGUST,MALE,MEDIUM,10000128.jpg,"PARTIAL
",NONE,DOWN,128.0
129,YOUNG,DISGUST,MALE,MEDIUM,10000129.jpg,"PARTIAL
",NONE,DOWN,129.0
130,YOUNG,DISGUST,MALE,HIGH,10000130.jpg,"PARTIAL
",NONE,LEFT,130.0
131,YOUNG,HAPPINESS,MALE,MEDIUM,10000131.jpg,"PARTIAL
",HAND,FRONTAL,131.0
132,YOUNG,NEUTRAL,MALE,MEDIUM,10000132.jpg,"PARTIAL
",NONE,FRONTAL,132.0
133,YOUNG,DISGUST,MALE,MEDIUM,10000133.jpg,"PARTIAL
",HAND,RIGHT,133.0
134,YOUNG,DISGUST,MALE,MEDIUM,10000134.jpg,"PARTIAL
",NONE,FRONTAL,134.0
135,YOUNG,DISGUST,MALE,MEDIUM,10000135.jpg,"PARTIAL
",NONE,FRONTAL,135.0
136,YOUNG,DISGUST,MALE,MEDIUM,10000136.jpg,"PARTIAL
",NONE,FRONTAL,136.0
137,YOUNG,DISGUST,MALE,MEDIUM,10000137.jpg,"PARTIAL
",NONE,RIGHT,137.0
138,YOUNG,DISGUST,MALE,MEDIUM,10000138.jpg,"PARTIAL
",NONE,RIGHT,138.0
139,YOUNG,DISGUST,MALE,MEDIUM,10000139.jpg,"PARTIAL
",NONE,RIGHT,139.0
140,YOUNG,DISGUST,MALE,MEDIUM,10000140.jpg,"PARTIAL
",NONE,LEFT,140.0
141,YOUNG,DISGUST,MALE,MEDIUM,10000141.jpg,"PARTIAL
",NONE,LEFT,141.0
142,YOUNG,DISGUST,MALE,MEDIUM,10000142.jpg,"PARTIAL
",NONE,FRONTAL,142.0
143,YOUNG,DISGUST,MALE,MEDIUM,10000143.jpg,"PARTIAL
",NONE,LEFT,143.0
144,YOUNG,DISGUST,MALE,MEDIUM,10000144.jpg,"PARTIAL
",HAND,RIGHT,144.0
145,YOUNG,HAPPINESS,MALE,HIGH,10000145.jpg,"PARTIAL
",NONE,FRONTAL,145.0
146,YOUNG,DISGUST,MALE,MEDIUM,10000146.jpg,"PARTIAL
",NONE,DOWN,146.0
147,YOUNG,DISGUST,MALE,MEDIUM,10000147.jpg,"PARTIAL
",HAND,RIGHT,147.0
148,YOUNG,DISGUST,MALE,MEDIUM,10000148.jpg,"PARTIAL
",NONE,RIGHT,148.0
149,YOUNG,HAPPINESS,MALE,MEDIUM,10000149.jpg,"PARTIAL
",NONE,RIGHT,149.0
150,YOUNG,DISGUST,MALE,MEDIUM,10000150.jpg,"PARTIAL
",NONE,RIGHT,150.0
151,YOUNG,HAPPINESS,MALE,MEDIUM,10000151.jpg,"PARTIAL
",HAND,FRONTAL,151.0
152,YOUNG,DISGUST,MALE,MEDIUM,10000152.jpg,"PARTIAL
",NONE,RIGHT,152.0
153,YOUNG,HAPPINESS,MALE,BAD,10000153.jpg,"PARTIAL
",NONE,RIGHT,153.0
154,YOUNG,DISGUST,MALE,BAD,10000154.jpg,"PARTIAL
",NONE,LEFT,154.0
155,YOUNG,DISGUST,MALE,HIGH,10000155.jpg,"PARTIAL
",OTHERS,LEFT,155.0
156,YOUNG,DISGUST,MALE,MEDIUM,10000156.jpg,"PARTIAL
",NONE,LEFT,156.0
157,YOUNG,DISGUST,MALE,MEDIUM,10000157.jpg,"PARTIAL
",NONE,LEFT,157.0
158,YOUNG,DISGUST,MALE,BAD,10000158.jpg,"PARTIAL
",NONE,DOWN,158.0
159,YOUNG,HAPPINESS,MALE,MEDIUM,10000159.jpg,"PARTIAL
",NONE,LEFT,159.0
160,YOUNG,DISGUST,MALE,BAD,10000160.jpg,"PARTIAL
",NONE,LEFT,160.0
161,YOUNG,DISGUST,MALE,MEDIUM,10000161.jpg,"PARTIAL
",OTHERS,FRONTAL,161.0
162,YOUNG,DISGUST,MALE,MEDIUM,10000162.jpg,"PARTIAL
",HAND,LEFT,162.0
163,YOUNG,DISGUST,MALE,BAD,10000163.jpg,"PARTIAL
",NONE,FRONTAL,163.0
164,YOUNG,DISGUST,MALE,BAD,10000164.jpg,"PARTIAL
",NONE,LEFT,164.0
165,YOUNG,DISGUST,MALE,MEDIUM,10000165.jpg,"PARTIAL
",NONE,LEFT,165.0
166,YOUNG,DISGUST,MALE,MEDIUM,10000166.jpg,"PARTIAL
",NONE,LEFT,166.0
167,YOUNG,SURPRISE,MALE,MEDIUM,10000167.jpg,"PARTIAL
",NONE,LEFT,167.0
168,YOUNG,HAPPINESS,MALE,MEDIUM,10000168.jpg,"PARTIAL
",NONE,LEFT,168.0
169,YOUNG,HAPPINESS,MALE,MEDIUM,10000169.jpg,"PARTIAL
",NONE,DOWN,169.0
170,YOUNG,DISGUST,MALE,MEDIUM,10000170.jpg,"PARTIAL
",NONE,LEFT,170.0
171,YOUNG,DISGUST,MALE,MEDIUM,10000171.jpg,"PARTIAL
",HAND,LEFT,171.0
172,YOUNG,DISGUST,MALE,BAD,10000172.jpg,"PARTIAL
",NONE,FRONTAL,172.0
173,YOUNG,DISGUST,MALE,MEDIUM,10000173.jpg,"PARTIAL
",NONE,LEFT,173.0
174,YOUNG,DISGUST,MALE,BAD,10000174.jpg,"PARTIAL
",HAND,FRONTAL,174.0
175,YOUNG,DISGUST,MALE,BAD,10000175.jpg,"PARTIAL
",NONE,LEFT,175.0
176,YOUNG,DISGUST,MALE,BAD,10000176.jpg,"PARTIAL
",NONE,RIGHT,176.0
177,YOUNG,DISGUST,MALE,MEDIUM,10000177.jpg,"PARTIAL
",NONE,RIGHT,177.0
178,YOUNG,DISGUST,MALE,MEDIUM,10000178.jpg,"PARTIAL
",NONE,RIGHT,178.0
179,YOUNG,DISGUST,MALE,MEDIUM,10000179.jpg,"PARTIAL
",NONE,LEFT,179.0
180,YOUNG,DISGUST,MALE,MEDIUM,10000180.jpg,"PARTIAL
",NONE,RIGHT,180.0
181,YOUNG,DISGUST,MALE,MEDIUM,10000181.jpg,"PARTIAL
",NONE,FRONTAL,181.0
182,YOUNG,DISGUST,MALE,MEDIUM,10000182.jpg,"PARTIAL
",NONE,FRONTAL,182.0
183,YOUNG,ANGER,MALE,MEDIUM,10000183.jpg,"PARTIAL
",NONE,LEFT,183.0
184,YOUNG,DISGUST,MALE,MEDIUM,10000184.jpg,"PARTIAL
",HAND,FRONTAL,184.0
185,YOUNG,DISGUST,MALE,MEDIUM,10000185.jpg,"PARTIAL
",NONE,LEFT,185.0
186,YOUNG,HAPPINESS,MALE,HIGH,10000186.jpg,"PARTIAL
",NONE,FRONTAL,186.0
187,YOUNG,DISGUST,MALE,MEDIUM,10000187.jpg,"PARTIAL
",HAND,FRONTAL,187.0
188,YOUNG,HAPPINESS,MALE,MEDIUM,10000188.jpg,"PARTIAL
",HAND,FRONTAL,188.0
189,YOUNG,HAPPINESS,MALE,MEDIUM,10000189.jpg,"PARTIAL
",NONE,LEFT,189.0
190,YOUNG,DISGUST,MALE,MEDIUM,10000190.jpg,"PARTIAL
",NONE,LEFT,190.0
191,YOUNG,HAPPINESS,MALE,MEDIUM,10000191.jpg,"PARTIAL
",HAND,FRONTAL,191.0
192,YOUNG,HAPPINESS,MALE,MEDIUM,10000192.jpg,"PARTIAL
",NONE,LEFT,192.0
193,YOUNG,HAPPINESS,MALE,MEDIUM,10000193.jpg,"PARTIAL
",NONE,LEFT,193.0
194,YOUNG,DISGUST,MALE,MEDIUM,10000194.jpg,"PARTIAL
",OTHERS,FRONTAL,194.0
195,YOUNG,HAPPINESS,MALE,MEDIUM,10000195.jpg,"PARTIAL
",NONE,LEFT,195.0
196,YOUNG,DISGUST,MALE,HIGH,10000196.jpg,"PARTIAL
",NONE,FRONTAL,196.0
197,YOUNG,HAPPINESS,MALE,MEDIUM,10000197.jpg,"PARTIAL
",NONE,RIGHT,197.0
198,YOUNG,HAPPINESS,MALE,MEDIUM,10000198.jpg,"PARTIAL
",NONE,LEFT,198.0
199,YOUNG,HAPPINESS,MALE,MEDIUM,10000199.jpg,"PARTIAL
",NONE,RIGHT,199.0
200,YOUNG,HAPPINESS,MALE,MEDIUM,10000200.jpg,"PARTIAL
",NONE,RIGHT,200.0
201,YOUNG,DISGUST,MALE,MEDIUM,10000201.jpg,"PARTIAL
",NONE,FRONTAL,201.0
202,YOUNG,HAPPINESS,MALE,MEDIUM,10000202.jpg,"PARTIAL
",NONE,LEFT,202.0
203,YOUNG,DISGUST,MALE,MEDIUM,10000203.jpg,"PARTIAL
",NONE,FRONTAL,203.0
204,YOUNG,DISGUST,MALE,MEDIUM,10000204.jpg,"PARTIAL
",NONE,FRONTAL,204.0
205,YOUNG,DISGUST,MALE,MEDIUM,10000205.jpg,"PARTIAL
",NONE,RIGHT,205.0
206,YOUNG,DISGUST,MALE,MEDIUM,10000206.jpg,"PARTIAL
",OTHERS,DOWN,206.0
207,YOUNG,ANGER,MALE,MEDIUM,10000207.jpg,"PARTIAL
",NONE,LEFT,207.0
208,YOUNG,DISGUST,MALE,MEDIUM,10000208.jpg,"PARTIAL
",NONE,LEFT,208.0
209,YOUNG,DISGUST,MALE,MEDIUM,10000209.jpg,"PARTIAL
",OTHERS,LEFT,209.0
210,YOUNG,HAPPINESS,MALE,MEDIUM,10000210.jpg,"PARTIAL
",NONE,FRONTAL,210.0
211,YOUNG,DISGUST,MALE,MEDIUM,10000211.jpg,"PARTIAL
",NONE,RIGHT,211.0
212,YOUNG,DISGUST,MALE,MEDIUM,10000212.jpg,"PARTIAL
",NONE,FRONTAL,212.0
213,YOUNG,DISGUST,MALE,MEDIUM,10000213.jpg,"PARTIAL
",NONE,DOWN,213.0
214,YOUNG,HAPPINESS,MALE,MEDIUM,10000214.jpg,"PARTIAL
",OTHERS,FRONTAL,214.0
215,YOUNG,DISGUST,MALE,MEDIUM,10000215.jpg,"PARTIAL
",NONE,LEFT,215.0
216,YOUNG,DISGUST,MALE,MEDIUM,10000216.jpg,"PARTIAL
",NONE,FRONTAL,216.0
217,YOUNG,DISGUST,MALE,MEDIUM,10000217.jpg,"PARTIAL
",HAND,LEFT,217.0
218,YOUNG,DISGUST,MALE,MEDIUM,10000218.jpg,"PARTIAL
",NONE,RIGHT,218.0
219,YOUNG,DISGUST,MALE,BAD,10000219.jpg,"PARTIAL
",NONE,LEFT,219.0
220,YOUNG,DISGUST,MALE,MEDIUM,10000220.jpg,"PARTIAL
",NONE,RIGHT,220.0
221,YOUNG,DISGUST,MALE,MEDIUM,10000221.jpg,"PARTIAL
",NONE,FRONTAL,221.0
222,YOUNG,DISGUST,MALE,MEDIUM,10000222.jpg,"PARTIAL
",NONE,RIGHT,222.0
223,YOUNG,HAPPINESS,MALE,MEDIUM,10000223.jpg,"PARTIAL
",HAND,FRONTAL,223.0
224,YOUNG,DISGUST,MALE,BAD,10000224.jpg,PARTIAL,NONE,LEFT,224.0
225,MIDDLE,NEUTRAL,MALE,MEDIUM,10000833.jpg,"PARTIAL
",GLASSES,LEFT,0.0
226,MIDDLE,HAPPINESS,MALE,MEDIUM,10000834.jpg,"PARTIAL
",NONE,FRONTAL,1.0
227,MIDDLE,HAPPINESS,MALE,MEDIUM,10000835.jpg,"PARTIAL
",NONE,FRONTAL,2.0
228,MIDDLE,NEUTRAL,MALE,MEDIUM,10000836.jpg,"PARTIAL
",NONE,LEFT,3.0
229,MIDDLE,NEUTRAL,MALE,MEDIUM,10000837.jpg,"PARTIAL
",NONE,FRONTAL,4.0
230,MIDDLE,ANGER,MALE,MEDIUM,10000838.jpg,"PARTIAL
",NONE,FRONTAL,5.0
231,MIDDLE,NEUTRAL,MALE,MEDIUM,10000839.jpg,"PARTIAL
",NONE,RIGHT,6.0
232,MIDDLE,NEUTRAL,MALE,MEDIUM,10000840.jpg,"PARTIAL
",NONE,RIGHT,7.0
233,MIDDLE,NEUTRAL,MALE,BAD,10000841.jpg,"PARTIAL
",NONE,FRONTAL,8.0
234,MIDDLE,NEUTRAL,MALE,BAD,10000842.jpg,"PARTIAL
",NONE,LEFT,9.0
235,MIDDLE,NEUTRAL,MALE,BAD,10000843.jpg,"PARTIAL
",NONE,RIGHT,10.0
236,MIDDLE,ANGER,MALE,BAD,10000844.jpg,"PARTIAL
",NONE,RIGHT,11.0
237,MIDDLE,ANGER,MALE,BAD,10000845.jpg,"PARTIAL
",OTHERS,FRONTAL,12.0
238,MIDDLE,HAPPINESS,MALE,BAD,10000846.jpg,"PARTIAL
",NONE,FRONTAL,13.0
239,MIDDLE,NEUTRAL,MALE,MEDIUM,10000847.jpg,"PARTIAL
",NONE,FRONTAL,14.0
240,MIDDLE,HAPPINESS,MALE,BAD,10000848.jpg,"PARTIAL
",NONE,FRONTAL,15.0
241,MIDDLE,NEUTRAL,MALE,MEDIUM,10000849.jpg,"PARTIAL
",GLASSES,FRONTAL,16.0
242,MIDDLE,NEUTRAL,MALE,MEDIUM,10000850.jpg,"PARTIAL
",NONE,FRONTAL,17.0
243,MIDDLE,NEUTRAL,MALE,MEDIUM,10000851.jpg,"PARTIAL
",NONE,FRONTAL,18.0
244,MIDDLE,NEUTRAL,MALE,MEDIUM,10000852.jpg,"PARTIAL
",NONE,FRONTAL,19.0
245,MIDDLE,NEUTRAL,MALE,BAD,10000853.jpg,"PARTIAL
",NONE,FRONTAL,20.0
246,MIDDLE,NEUTRAL,MALE,MEDIUM,10000854.jpg,"PARTIAL
",NONE,FRONTAL,21.0
247,MIDDLE,NEUTRAL,MALE,MEDIUM,10000855.jpg,PARTIAL,NONE,RIGHT,22.0
248,MIDDLE,DISGUST,MALE,BAD,10006861.jpg,"PARTIAL
",NONE,FRONTAL,0.0
